NCT_id,intervention_type,name,_name,_idx,DHT_searched_text
NCT00389649,DEVICE,heart rate setting,no matches,0,heart rate setting
NCT00533338,BEHAVIORAL,"Weight Gain Prevention Program;
 Questionnaire",no matches,0,"Weight Gain Prevention Program;
 Questionnaire"
NCT00536601,"DRUG;
 RADIATION;
 PROCEDURE","etoposide;
 cyclophosphamide;
 carmustine;
 melphalan;
 busulfan;
 carboplatin;
 thiotepa;
 total-body irradiation;
 autologous hematopoietic stem cell transplantation;
 autologous-autologous tandem hematopoietic stem cell transplantation",no matches,0,"etoposide;
 cyclophosphamide;
 carmustine;
 melphalan;
 busulfan;
 carboplatin;
 thiotepa;
 total-body irradiation;
 autologous hematopoietic stem cell transplantation;
 autologous-autologous tandem hematopoietic stem cell transplantation"
NCT00600106,DRUG,"1/10 NA/EE;
 Placebo",no matches,0,"1/10 NA/EE;
 Placebo"
NCT00681135,DEVICE,"sonic toothbrush (Philips Sonicare® FlexCare, Typ HX6942/04);
 manual toothbrush / interdental toothbrush (elmex® Inter X medium toothbrush / interdental brush Curaprox®);
 manual toothbrush (elmex® Inter X medium toothbrush)",['philips'],1,"sonic toothbrush (Philips Sonicare® FlexCare, Typ HX6942/04);
 manual toothbrush / interdental toothbrush (elmex® Inter X medium toothbrush / interdental brush Curaprox®);
 manual toothbrush (elmex® Inter X medium toothbrush)"
NCT00857376,DIETARY_SUPPLEMENT,Alpha lipoic acid at 3 doses compared to placebo,no matches,0,Alpha lipoic acid at 3 doses compared to placebo
NCT00926692,OTHER,Blood draw,no matches,0,Blood draw
NCT00940550,DRUG,"Prolonged-release melatonin;
 Temazepam;
 Zolpidem;
 Placebo to match melatonin, zolpidem and temazepam",no matches,0,"Prolonged-release melatonin;
 Temazepam;
 Zolpidem;
 Placebo to match melatonin, zolpidem and temazepam"
NCT01127776,"DEVICE;
 OTHER","APOS SYSTEM;
 APOS SYSTEM without biomechanics units.",no matches,0,"APOS SYSTEM;
 APOS SYSTEM without biomechanics units."
NCT01391078,DEVICE,"Sensimed Triggerfish Sensor;
 Goldmann Applanation Tonometry, Perkins Tonometry",['triggerfish'],1,"Sensimed Triggerfish Sensor;
 Goldmann Applanation Tonometry, Perkins Tonometry"
NCT01444846,DRUG,"SPI-1005 Low dose;
 SPI-1005 Middle dose;
 SPI-1005 High dose;
 Placebo",no matches,0,"SPI-1005 Low dose;
 SPI-1005 Middle dose;
 SPI-1005 High dose;
 Placebo"
NCT01495897,DEVICE,"Tracking eye movement;
 Tracking eye movement under deep brain stimulation",no matches,0,"Tracking eye movement;
 Tracking eye movement under deep brain stimulation"
NCT01599624,BEHAVIORAL,"Stress Resilience Training System (SRTS);
 Progressive Muscle Relaxation (PMR)",no matches,0,"Stress Resilience Training System (SRTS);
 Progressive Muscle Relaxation (PMR)"
NCT01627652,OTHER,altitude,no matches,0,altitude
NCT01662947,DEVICE,"Blood pressure Transtek Wrist Blood Pressure Monitor, TMB-1117;
 Blood pressure Reference Device: Yuyue Medical Blood Pressure Meter, YYBP-2",['wrist blood pressure monitor'],1,"Blood pressure Transtek Wrist Blood Pressure Monitor, TMB-1117;
 Blood pressure Reference Device: Yuyue Medical Blood Pressure Meter, YYBP-2"
NCT01766622,"DRUG;
 PROCEDURE","[18F]-CP18;
 PET/ CT",no matches,0,"[18F]-CP18;
 PET/ CT"
NCT01811589,"DEVICE;
 OTHER","Thomale-Guide;
 Free-hand",no matches,0,"Thomale-Guide;
 Free-hand"
NCT01826591,BEHAVIORAL,"Low-Carbohydrate Diet;
 Low-Fat Diet;
 Mobile App",['mobile app'],1,"Low-Carbohydrate Diet;
 Low-Fat Diet;
 Mobile App"
NCT01867437,DRUG,"Placebo;
 RM-493",no matches,0,"Placebo;
 RM-493"
NCT01883024,OTHER,"A decision support software;
 Insulin Pump;
 Continuous glucose monitoring",no matches,0,"A decision support software;
 Insulin Pump;
 Continuous glucose monitoring"
NCT01887431,OTHER,"Telecare;
 Conventional therapy",no matches,0,"Telecare;
 Conventional therapy"
NCT01937104,"DRUG;
 DEVICE;
 PROCEDURE","Desflurane;
 Remifentanil;
 Ultrasonographic measurement of ONSD;
 Mechanical ventilation;
 Trendelenburg position - 30 degree;
 Reverse Trendelenburg position - 30 degree",no matches,0,"Desflurane;
 Remifentanil;
 Ultrasonographic measurement of ONSD;
 Mechanical ventilation;
 Trendelenburg position - 30 degree;
 Reverse Trendelenburg position - 30 degree"
NCT01951937,DIETARY_SUPPLEMENT,"Fish Meals;
 Placebo",no matches,0,"Fish Meals;
 Placebo"
NCT01969604,BEHAVIORAL,Motivational Lifestyle Counselling,no matches,0,Motivational Lifestyle Counselling
NCT01976728,DRUG,"Gonadorelin acetate subcutaneous (SC) 10 μg/pulse as a fixed dose, administered via. OmniPod pump;
 Gonadorelin acetate SC 15 μg/pulse as a fixed dose, administered via. OmniPod pump;
 Gonadorelin acetate SC 20 μg/pulse as a fixed dose, administered via. OmniPod pump;
 Placebo (SC 10, 15, or 20 μg/pulse as a fixed dose, administered via. OmniPod pump)",['omnipod'],1,"Gonadorelin acetate subcutaneous (SC) 10 μg/pulse as a fixed dose, administered via. OmniPod pump;
 Gonadorelin acetate SC 15 μg/pulse as a fixed dose, administered via. OmniPod pump;
 Gonadorelin acetate SC 20 μg/pulse as a fixed dose, administered via. OmniPod pump;
 Placebo (SC 10, 15, or 20 μg/pulse as a fixed dose, administered via. OmniPod pump)"
NCT02067884,"PROCEDURE;
 DRUG;
 DEVICE","dynamic contrast-enhanced ultrasound imaging;
 shear wave elastography;
 Definity, (Lipid Microspheres) Intravenous Suspension;
 Philips Shear Wave Elastography",['philips'],1,"dynamic contrast-enhanced ultrasound imaging;
 shear wave elastography;
 Definity, (Lipid Microspheres) Intravenous Suspension;
 Philips Shear Wave Elastography"
NCT02073266,PROCEDURE,"Macular hole surgery using a 25 G pars plana vitrectomy, ILM peeling, fluid-air exchange followed by air-gas exchange with SF6 or C3F8.",no matches,0,"Macular hole surgery using a 25 G pars plana vitrectomy, ILM peeling, fluid-air exchange followed by air-gas exchange with SF6 or C3F8."
NCT02092051,DEVICE,Continuous glucose monitoring with DexCom G4 platina,['dexcom'],1,Continuous glucose monitoring with DexCom G4 platina
NCT02185625,DEVICE,Safe Delivery smartphone application,['smartphone'],1,Safe Delivery smartphone application
NCT02186392,DEVICE,Circadian Light luminaries,no matches,0,Circadian Light luminaries
NCT02203266,"DEVICE;
 BEHAVIORAL","Feedback;
 Education",no matches,0,"Feedback;
 Education"
NCT02218086,DEVICE,"Slackline;
 Wobbling Board;
 Pre-training;
 Fix visual anchor;
 Moving visual anchor;
 Post-training;
 Slackline vs. standing-on-1-leg vs. control",no matches,0,"Slackline;
 Wobbling Board;
 Pre-training;
 Fix visual anchor;
 Moving visual anchor;
 Post-training;
 Slackline vs. standing-on-1-leg vs. control"
NCT02230280,OTHER,Strengthening Community-Based Stroke Care: A Pilot Study of a Community Navigation and Rehabilitation Intervention that Includes a Mobile Health Solution,no matches,0,Strengthening Community-Based Stroke Care: A Pilot Study of a Community Navigation and Rehabilitation Intervention that Includes a Mobile Health Solution
NCT02265718,DRUG,"Ritalin;
 Placebo",no matches,0,"Ritalin;
 Placebo"
NCT02342301,BEHAVIORAL,"Standing Desk;
 Traditional Desk",no matches,0,"Standing Desk;
 Traditional Desk"
NCT02373722,"PROCEDURE;
 OTHER;
 BEHAVIORAL","Mohs Surgery;
 Internet-Based Intervention;
 Telephone-Based Intervention;
 Educational Intervention;
 Exercise Intervention;
 Petrolatum-Mineral Oil-Lanolin-Ceresin Ointment;
 Questionnaire Administration;
 Survey Administration",no matches,0,"Mohs Surgery;
 Internet-Based Intervention;
 Telephone-Based Intervention;
 Educational Intervention;
 Exercise Intervention;
 Petrolatum-Mineral Oil-Lanolin-Ceresin Ointment;
 Questionnaire Administration;
 Survey Administration"
NCT02398344,DEVICE,"tDCS active;
 tDCS Sham",no matches,0,"tDCS active;
 tDCS Sham"
NCT02411318,"BEHAVIORAL;
 DRUG;
 OTHER","Exercise;
 ProLab 200mg caffeine capsule;
 Ethanol ingestion;
 Glucose Tolerance Drink",no matches,0,"Exercise;
 ProLab 200mg caffeine capsule;
 Ethanol ingestion;
 Glucose Tolerance Drink"
NCT02437097,OTHER,"Aerobic exercise;
 Video Gaming;
 Aerobic exercise and Video Gaming;
 Control",no matches,0,"Aerobic exercise;
 Video Gaming;
 Aerobic exercise and Video Gaming;
 Control"
NCT02466061,BEHAVIORAL,"Telemedicine Weight Management plus Wi-Fi Scale (Arm A);
 Text for Diet (Text4Diet) Group (Arm B);
 Enhanced Usual Care Group (Arm C)",no matches,0,"Telemedicine Weight Management plus Wi-Fi Scale (Arm A);
 Text for Diet (Text4Diet) Group (Arm B);
 Enhanced Usual Care Group (Arm C)"
NCT02501057,BEHAVIORAL,"Clinician's Guide;
 Enhanced Motivational Interviewing;
 Enhanced Clinician's Guide",no matches,0,"Clinician's Guide;
 Enhanced Motivational Interviewing;
 Enhanced Clinician's Guide"
NCT02519491,OTHER,"Modified Allen Test;
 Iphone artery assessment",['iphone'],1,"Modified Allen Test;
 Iphone artery assessment"
NCT02522962,BEHAVIORAL,"GroupCoreSIT;
 Standard care",no matches,0,"GroupCoreSIT;
 Standard care"
NCT02539381,"PROCEDURE;
 DEVICE","Formal Perimetry (Goldman or Octopus visual Field);
 Albert's visual inattention test;
 Star cancellation visual inattention test;
 Visual field assessment to confrontation;
 Visual inattention assessment to bilateral stimuli;
 Digital tumbling E visual accuity assessment;
 Digital visual field assessment;
 Digital line crossing assessment;
 Digital shape cancellation assessment",no matches,0,"Formal Perimetry (Goldman or Octopus visual Field);
 Albert's visual inattention test;
 Star cancellation visual inattention test;
 Visual field assessment to confrontation;
 Visual inattention assessment to bilateral stimuli;
 Digital tumbling E visual accuity assessment;
 Digital visual field assessment;
 Digital line crossing assessment;
 Digital shape cancellation assessment"
NCT02548182,"DEVICE;
 OTHER","smartcare;
 financial incentives",no matches,0,"smartcare;
 financial incentives"
NCT02559518,DEVICE,"tDCS;
 rTMS;
 pp-TMS assessment",no matches,0,"tDCS;
 rTMS;
 pp-TMS assessment"
NCT02573376,BEHAVIORAL,"Directly Observed Therapy;
 Wirelessly Observed Therapy",no matches,0,"Directly Observed Therapy;
 Wirelessly Observed Therapy"
NCT02587260,DRUG,"Ticagrelor;
 Prasugrel;
 Clopidogrel",no matches,0,"Ticagrelor;
 Prasugrel;
 Clopidogrel"
NCT02587585,BEHAVIORAL,"Feedback against tailored target;
 No feedback",no matches,0,"Feedback against tailored target;
 No feedback"
NCT02600078,"DEVICE;
 OTHER","AMS Monitor App;
 Lake Louise Score;
 Balance Error Scoring System;
 Heart Rate & Pulse Oxygen Saturation",no matches,0,"AMS Monitor App;
 Lake Louise Score;
 Balance Error Scoring System;
 Heart Rate & Pulse Oxygen Saturation"
NCT02608827,"DEVICE;
 OTHER","Resperate®-InterCure Ltda;
 Music group (GC)",['resperate'],1,"Resperate®-InterCure Ltda;
 Music group (GC)"
NCT02659826,DEVICE,"anodal tsDCS;
 cathodal tsDCS;
 sham tsDCS;
 Gait training;
 High frequency rTMS;
 Low frequency rTMS;
 sham rTMS",no matches,0,"anodal tsDCS;
 cathodal tsDCS;
 sham tsDCS;
 Gait training;
 High frequency rTMS;
 Low frequency rTMS;
 sham rTMS"
NCT02694263,DRUG,"Canagliflozin;
 Repaglinide;
 Pioglitazone;
 Gliclazide;
 Glimepiride",no matches,0,"Canagliflozin;
 Repaglinide;
 Pioglitazone;
 Gliclazide;
 Glimepiride"
NCT02705521,DEVICE,Exergames- Laptop and MIcrosoft Kinect,['kinect'],1,Exergames- Laptop and MIcrosoft Kinect
NCT02716701,"BEHAVIORAL;
 OTHER","Exercise Group;
 Control Group;
 wristband activity tracker",['tracker'],1,"Exercise Group;
 Control Group;
 wristband activity tracker"
NCT02720822,"DRUG;
 DEVICE","Placebo;
 Morphine Sulfate;
 Plus laxative (Docusate with senna);
 Plus placebo laxative;
 FitBit charge HR (Accelerometer)",['fitbit charge'],1,"Placebo;
 Morphine Sulfate;
 Plus laxative (Docusate with senna);
 Plus placebo laxative;
 FitBit charge HR (Accelerometer)"
NCT02735265,BEHAVIORAL,"Virtual reality;
 Standard treatment",no matches,0,"Virtual reality;
 Standard treatment"
NCT02753829,"PROCEDURE;
 OTHER","Cardiovascular rehabilitation program using Kinect of Xbox;
 Cardiovascular rehabilitation program using paper manual;
 Educational component","['xbox', 'kinect']",1,"Cardiovascular rehabilitation program using Kinect of Xbox;
 Cardiovascular rehabilitation program using paper manual;
 Educational component"
NCT02768181,"BEHAVIORAL;
 DIETARY_SUPPLEMENT","Nutrition-specific Behaviour change communication (BCC);
 Nutrient supplement to pregnant women (PNS);
 Nutrienr supplement to children 6m to 2 years",no matches,0,"Nutrition-specific Behaviour change communication (BCC);
 Nutrient supplement to pregnant women (PNS);
 Nutrienr supplement to children 6m to 2 years"
NCT02774876,"DEVICE;
 DRUG;
 OTHER","Patient's insulin pump;
 Insulin;
 Dexcom G4 Platinum glucose sensor;
 Single-hormone closed-loop","['dexcom', 'g4 platinum']",1,"Patient's insulin pump;
 Insulin;
 Dexcom G4 Platinum glucose sensor;
 Single-hormone closed-loop"
NCT02779725,BEHAVIORAL,"SCC;
 Nurse Practitioner;
 DSS;
 AT;
 Symptom Severity",no matches,0,"SCC;
 Nurse Practitioner;
 DSS;
 AT;
 Symptom Severity"
NCT02780284,BEHAVIORAL,Physical activity intervention,no matches,0,Physical activity intervention
NCT02784301,"DEVICE;
 BEHAVIORAL","Belly breathing with biofeedback app;
 Belly breathing without biofeedback app;
 Belly breathing + visual distraction",no matches,0,"Belly breathing with biofeedback app;
 Belly breathing without biofeedback app;
 Belly breathing + visual distraction"
NCT02794727,DEVICE,"Blinded Fitbit;
 Unblinded Fitbit",['fitbit'],1,"Blinded Fitbit;
 Unblinded Fitbit"
NCT02801279,OTHER,"Conventional bilateral arm training;
 Kinect-based bilateral arm training",['kinect'],1,"Conventional bilateral arm training;
 Kinect-based bilateral arm training"
NCT02818166,PROCEDURE,Mitral valve surgery,no matches,0,Mitral valve surgery
NCT02846857,"OTHER;
 DEVICE;
 DRUG","15-week intervention with sensor-augmented pump;
 15-week intervention with single-hormone closed-loop;
 15-week intervention with dual-hormone closed-loop;
 Insulin pump;
 Continuous glucose monitoring system;
 Insulin;
 Glucagon",no matches,0,"15-week intervention with sensor-augmented pump;
 15-week intervention with single-hormone closed-loop;
 15-week intervention with dual-hormone closed-loop;
 Insulin pump;
 Continuous glucose monitoring system;
 Insulin;
 Glucagon"
NCT02849392,OTHER,Pistachio added 20% of kcals to diet,no matches,0,Pistachio added 20% of kcals to diet
NCT02869386,PROCEDURE,"STEMO;
 Regular care",no matches,0,"STEMO;
 Regular care"
NCT02886871,BEHAVIORAL,Step Goal Delivery by Smartphone,['smartphone'],1,Step Goal Delivery by Smartphone
NCT02905929,"DEVICE;
 BEHAVIORAL;
 OTHER","ActivPAL inclinometer;
 Phone counseling call: Breaking up sitting time;
 In-person counseling: Breaking up sitting time;
 Phone counseling call: Healthy living;
 Tools to prompt standing;
 In-person counseling: Healthy living",['activpal'],1,"ActivPAL inclinometer;
 Phone counseling call: Breaking up sitting time;
 In-person counseling: Breaking up sitting time;
 Phone counseling call: Healthy living;
 Tools to prompt standing;
 In-person counseling: Healthy living"
NCT02918396,DEVICE,"Scar-Based Radio-frequency Ablation;
 Rotor Anchors Radio-frequency Ablation;
 Conventional PVI by Radio-frequency Ablation",no matches,0,"Scar-Based Radio-frequency Ablation;
 Rotor Anchors Radio-frequency Ablation;
 Conventional PVI by Radio-frequency Ablation"
NCT02918838,BEHAVIORAL,"Own Adherence Group;
 Fixed Adherence Group;
 Control Group",no matches,0,"Own Adherence Group;
 Fixed Adherence Group;
 Control Group"
NCT02919397,"DEVICE;
 BEHAVIORAL","Wearable technology;
 Diabetes Prevention Programme educational material;
 Motivational messaging",['wearable'],1,"Wearable technology;
 Diabetes Prevention Programme educational material;
 Motivational messaging"
NCT02925039,OTHER,"Rehab with computer feedback;
 Treatment as usual",no matches,0,"Rehab with computer feedback;
 Treatment as usual"
NCT02935166,OTHER,Respiratory muscle training,no matches,0,Respiratory muscle training
NCT02943499,"BEHAVIORAL;
 DEVICE","App/Training;
 Smartphone",['smartphone'],1,"App/Training;
 Smartphone"
NCT02957513,BEHAVIORAL,"Text Messaging (TM);
 Health Coaching (HC);
 Enhanced Usual Care (EC)",no matches,0,"Text Messaging (TM);
 Health Coaching (HC);
 Enhanced Usual Care (EC)"
NCT02966054,BEHAVIORAL,Digital Health Physical Activity Intervention Group,no matches,0,Digital Health Physical Activity Intervention Group
NCT03022032,"DEVICE;
 OTHER","Fitbit Zip;
 HOPE App;
 Standard of Care;
 Fitbit Charge 2;
 SMART Study Intervention","['fitbit charge', 'fitbit']",1,"Fitbit Zip;
 HOPE App;
 Standard of Care;
 Fitbit Charge 2;
 SMART Study Intervention"
NCT03030547,DEVICE,SenseWear activity monitor,['sensewear'],1,SenseWear activity monitor
NCT03034746,OTHER,"Physical activity (PA);
 cognitive treatment (CT)",no matches,0,"Physical activity (PA);
 cognitive treatment (CT)"
NCT03035019,BEHAVIORAL,Lantern,no matches,0,Lantern
NCT03039621,DRUG,"Ergoferon;
 Placebo",no matches,0,"Ergoferon;
 Placebo"
NCT03050528,BEHAVIORAL,"Supervised Exercise;
 Acceptance and Commitment Therapy",no matches,0,"Supervised Exercise;
 Acceptance and Commitment Therapy"
NCT03060278,"BEHAVIORAL;
 DRUG;
 OTHER","Self-help materials;
 nicotine patch;
 Smartphone-delivered automated treatment;
 Counseling",['smartphone'],1,"Self-help materials;
 nicotine patch;
 Smartphone-delivered automated treatment;
 Counseling"
NCT03065049,BEHAVIORAL,"Peer-Facilitated Counseling;
 Fitbit activity tracker","['fitbit', 'tracker']",1,"Peer-Facilitated Counseling;
 Fitbit activity tracker"
NCT03065517,DEVICE,"VillageWhere App;
 Attention-Control Placebo App",no matches,0,"VillageWhere App;
 Attention-Control Placebo App"
NCT03077425,BEHAVIORAL,"Enhanced Usual Care (EUC);
 Intervention",no matches,0,"Enhanced Usual Care (EUC);
 Intervention"
NCT03121911,OTHER,"Interval Training (IT);
 Inspiratory Muscle Training (IMT)",no matches,0,"Interval Training (IT);
 Inspiratory Muscle Training (IMT)"
NCT03131440,BEHAVIORAL,"Core;
 Support Calls;
 App+;
 Online gym;
 App notifications;
 Buddy",no matches,0,"Core;
 Support Calls;
 App+;
 Online gym;
 App notifications;
 Buddy"
NCT03137836,BEHAVIORAL,Intervention,no matches,0,Intervention
NCT03182699,DIAGNOSTIC_TEST,"cardiac MRI;
 echocardiography with strain;
 Laboratory tests;
 Body composition monitoring;
 lung ultrasound",no matches,0,"cardiac MRI;
 echocardiography with strain;
 Laboratory tests;
 Body composition monitoring;
 lung ultrasound"
NCT03194750,OTHER,"Share ultrasound measurement of IVC collapsibility to Nephrology Attending;
 Do not share ultrasound measurement of IVC collapsibility to Nephrology Attending",no matches,0,"Share ultrasound measurement of IVC collapsibility to Nephrology Attending;
 Do not share ultrasound measurement of IVC collapsibility to Nephrology Attending"
NCT03206619,OTHER,"Social, Local and Mobile",no matches,0,"Social, Local and Mobile"
NCT03213236,DIAGNOSTIC_TEST,Homemonitoring diagnostic system,no matches,0,Homemonitoring diagnostic system
NCT03225885,OTHER,"Multimedia Information;
 Printed Handout",no matches,0,"Multimedia Information;
 Printed Handout"
NCT03228082,DEVICE,Home Blood Pressure Monitoring (HBPM),no matches,0,Home Blood Pressure Monitoring (HBPM)
NCT03228459,"DIAGNOSTIC_TEST;
 OTHER","Dried blood spot test;
 Urine test;
 Artery ultrasound;
 Ankle-brachial index;
 Spirometry;
 Determination of advanced glycation-end products;
 Atrial fibrillation screening;
 Biological sample collection;
 Result and recommendation report;
 Pulse wave velocity",no matches,0,"Dried blood spot test;
 Urine test;
 Artery ultrasound;
 Ankle-brachial index;
 Spirometry;
 Determination of advanced glycation-end products;
 Atrial fibrillation screening;
 Biological sample collection;
 Result and recommendation report;
 Pulse wave velocity"
NCT03280563,DRUG,"Atezolizumab (MPDL3280A), an engineered anti-programmed death-ligand 1 (PD-L1) antibody;
 Bevacizumab;
 Entinostat;
 Exemestane;
 Fulvestrant;
 Ipatasertib;
 Tamoxifen;
 Abemaciclib",no matches,0,"Atezolizumab (MPDL3280A), an engineered anti-programmed death-ligand 1 (PD-L1) antibody;
 Bevacizumab;
 Entinostat;
 Exemestane;
 Fulvestrant;
 Ipatasertib;
 Tamoxifen;
 Abemaciclib"
NCT03281369,"DRUG;
 BIOLOGICAL","5-Fluorouracil (5-FU);
 Leucovorin;
 Oxaliplatin;
 Atezolizumab;
 Cobimetinib;
 Ramucirumab;
 Paclitaxel;
 PEGylated recombinant human hyaluronidase (PEGPH20);
 BL-8040;
 Linagliptin;
 Cisplatin;
 Tiragolumab",no matches,0,"5-Fluorouracil (5-FU);
 Leucovorin;
 Oxaliplatin;
 Atezolizumab;
 Cobimetinib;
 Ramucirumab;
 Paclitaxel;
 PEGylated recombinant human hyaluronidase (PEGPH20);
 BL-8040;
 Linagliptin;
 Cisplatin;
 Tiragolumab"
NCT03284255,DEVICE,"study group;
 control group",no matches,0,"study group;
 control group"
NCT03288142,OTHER,"Hypertension Coaching Application and Home Monitor;
 Control: Tracking Application and Home Monitor",no matches,0,"Hypertension Coaching Application and Home Monitor;
 Control: Tracking Application and Home Monitor"
NCT03293095,PROCEDURE,Standard Care,no matches,0,Standard Care
NCT03309306,"OTHER;
 BEHAVIORAL","Natural Environment/Stress Management;
 Natural Environment/Reduce Food Waste",no matches,0,"Natural Environment/Stress Management;
 Natural Environment/Reduce Food Waste"
NCT03334318,"OTHER;
 DRUG","Mean blood glucose;
 Blood glucose CV;
 % time 70-180 mg/dL;
 % time below 54 mg/dL;
 % time above 180 mg/dL;
 % time above 250 mg/dL;
 MAGE (Mean amplitude of glucose excursions);
 LBGI (Low Blood Glucose Index);
 HBGI (High Blood Glucose Index);
 Allopurinol;
 Placebo",no matches,0,"Mean blood glucose;
 Blood glucose CV;
 % time 70-180 mg/dL;
 % time below 54 mg/dL;
 % time above 180 mg/dL;
 % time above 250 mg/dL;
 MAGE (Mean amplitude of glucose excursions);
 LBGI (Low Blood Glucose Index);
 HBGI (High Blood Glucose Index);
 Allopurinol;
 Placebo"
NCT03352219,BEHAVIORAL,"Reality Check;
 Physical Activity Attention Control",no matches,0,"Reality Check;
 Physical Activity Attention Control"
NCT03355287,OTHER,"Traditionally Threshed Teff (TTT);
 Lab Threshed Teff (LTT);
 Fortified Lab Threshed Teff (FTT)",no matches,0,"Traditionally Threshed Teff (TTT);
 Lab Threshed Teff (LTT);
 Fortified Lab Threshed Teff (FTT)"
NCT03357042,OTHER,"Aerobic exercise and balance retraining;
 Standard of care",no matches,0,"Aerobic exercise and balance retraining;
 Standard of care"
NCT03386786,BEHAVIORAL,"Health Partner;
 Standard Care",no matches,0,"Health Partner;
 Standard Care"
NCT03424005,DRUG,"Capecitabine;
 Atezolizumab;
 Ipatasertib;
 SGN-LIV1A;
 Bevacizumab;
 Chemotherapy (Gemcitabine + Carboplatin or Eribulin);
 Selicrelumab;
 Tocilizumab;
 Nab-Paclitaxel;
 Sacituzumab Govitecan;
 Abemaciclib;
 Fulvestrant;
 Ribociclib (dose #1);
 Inavolisib (dose #2);
 Trastuzumab Deruxtecan;
 Ribociclib (dose #2);
 Letrozole;
 Inavolisib (dose #1);
 Inavolisib",no matches,0,"Capecitabine;
 Atezolizumab;
 Ipatasertib;
 SGN-LIV1A;
 Bevacizumab;
 Chemotherapy (Gemcitabine + Carboplatin or Eribulin);
 Selicrelumab;
 Tocilizumab;
 Nab-Paclitaxel;
 Sacituzumab Govitecan;
 Abemaciclib;
 Fulvestrant;
 Ribociclib (dose #1);
 Inavolisib (dose #2);
 Trastuzumab Deruxtecan;
 Ribociclib (dose #2);
 Letrozole;
 Inavolisib (dose #1);
 Inavolisib"
NCT03424538,OTHER,"Neurorehabilitation;
 Physiotherapy",no matches,0,"Neurorehabilitation;
 Physiotherapy"
NCT03426137,"DRUG;
 OTHER","Oxycodone;
 Ketorolac;
 Placebo",no matches,0,"Oxycodone;
 Ketorolac;
 Placebo"
NCT03436628,DEVICE,MyT1DHero,no matches,0,MyT1DHero
NCT03446716,BEHAVIORAL,Sleep Extension,no matches,0,Sleep Extension
NCT03458702,BEHAVIORAL,"YogaFit;
 Quiet Rest",no matches,0,"YogaFit;
 Quiet Rest"
NCT03483220,DIAGNOSTIC_TEST,MRI brain,no matches,0,MRI brain
NCT03494127,DEVICE,"Use of GEL BALL FITTED MODULAR CUSHION;
 Use of SQUISHINS FITTED MODULAR CUSHION",no matches,0,"Use of GEL BALL FITTED MODULAR CUSHION;
 Use of SQUISHINS FITTED MODULAR CUSHION"
NCT03499080,BEHAVIORAL,"Medication free treatment;
 Treatment as usual Myrvegen;
 Treatment as usual Åråsen",no matches,0,"Medication free treatment;
 Treatment as usual Myrvegen;
 Treatment as usual Åråsen"
NCT03533985,"BEHAVIORAL;
 OTHER","Song of Kin;
 Gato box;
 Ocean disc;
 Contingent singing;
 Tonal Vocal holding;
 Muted shaker",no matches,0,"Song of Kin;
 Gato box;
 Ocean disc;
 Contingent singing;
 Tonal Vocal holding;
 Muted shaker"
NCT03537963,OTHER,"mHealth Stepped-care Intervention;
 Educational Control Condition;
 Questionnaire;
 Interview;
 Qualitative Interviews;
 Virtual Reality",['mhealth'],1,"mHealth Stepped-care Intervention;
 Educational Control Condition;
 Questionnaire;
 Interview;
 Qualitative Interviews;
 Virtual Reality"
